Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway76,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,ILEUDEG.PWY..L.isoleucine.degradation.I
Pathway340,4846,5151,4851,5156,4848.5,5153.5,0.515548445,0.51529847,0.48480 ,0.515048495,0.791020038,0.832331225,0.812352882,1.73E-05,1.79E-05,B,,,PWY.6630..superpathway.of.L.tyrosine.biosynthesis
Pathway472,4718,5280,4722,5284,4720,5282,0.528347165,0.528147185,0.47195 ,0.527947205,0.808513434,0.850432674,0.830166837,0.000220384,0.000217001,B,,,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.
Pathway156,4572,5426,4576,5430,4574,5428,0.542945705,0.542745725,0.45735 ,0.542545745,0.821481694,0.871314066,0.850619032,0.000152855,0.000148378,B,,,PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III
Pathway94,4524,5477,4525,5478,4524.5,5477.5,0.547745225,0.54769523,0.45240 ,0.547645235,0.826867172,0.876392361,0.855873596,1.62E-05,1.86E-05,B,,,NAGLIPASYN.PWY..lipid.IVA.biosynthesis
Pathway512,4480,5518,4484,5522,4482,5520,0.552144786,0.551944806,0.44816 ,0.551744826,0.82838999,0.880802396,0.860007023,4.33E-05,4.80E-05,B,,,SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II
Pathway86,4121,5317,4685,5881,4403,5599,0.588041196,0.559844016,0.44026 ,0.531646835,0.809553136,0.924899323,0.869786645,3.07E-09,2.31E-09,B,,,MANNOSYL.CHITO.DOLICHOL.BIOSYNTHESIS..protein.N.glycosylation..eukaryotic..high.mannose.
Pathway148,4115,5420,4582,5887,4348.5,5653.5,0.588641136,0.565293471,0.43481 ,0.541945805,0.821481694,0.924899323,0.875714741,5.31E-09,1.04E-08,B,,,PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes
Pathway413,3904,5299,4703,6098,4303.5,5698.5,0.609739026,0.569793021,0.43031 ,0.529847015,0.809111112,0.942218422,0.87784325,4.90E-09,6.27E-09,B,,,PWY.7270..L.methionine.salvage.cycle.II..plants.
Pathway359,4299,5697,4305,5703,4302,5700,0.570242976,0.569943006,0.43016 ,0.569643036,0.852873372,0.906973991,0.87784325,2.15E-05,1.87E-05,B,,,PWY.6891..thiazole.biosynthesis.II..Bacillus.
Pathway424,4261,5740,4262,5741,4261.5,5740.5,0.574042596,0.573992601,0.42611 ,0.573942606,0.856917094,0.910316069,0.881547375,8.64E-06,9.04E-06,B,,,PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis
Pathway183,4197,5804,4198,5805,4197.5,5804.5,0.580441956,0.580391961,0.41971 ,0.580341966,0.861671174,0.917748933,0.888828831,1.97E-05,1.95E-05,B,,,PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.
Pathway82,4071,5850,4152,5931,4111.5,5890.5,0.593040696,0.588991101,0.41111 ,0.584941506,0.863715281,0.926734149,0.898471516,1.01E-07,3.56E-08,B,,,LIPASYN.PWY..phospholipases
Pathway40,4100,5900,4102,5902,4101,5901,0.590140986,0.590040996,0.41006 ,0.589941006,0.868704338,0.924899323,0.898471516,2.25E-05,2.21E-05,B,,,FAO.PWY..fatty.acid..beta..oxidation.I
Pathway164,3967,6034,3968,6035,3967.5,6034.5,0.603439656,0.603389661,0.39671 ,0.603339666,0.884018702,0.940243185,0.916195066,1.96E-05,1.96E-05,B,,,PWY.5005..biotin.biosynthesis.II
